,query_vector
accus,0.0
might,0.0
stranger,0.0
someon,0.0
inde,0.0
certainli,0.0
phenomenon,0.0
kana,0.0
prose,0.0
transcrib,0.0
morphem,0.0
alon,0.0
mood,0.0
circumst,0.0
classif,0.0
wikipedia,0.0
sibl,0.0
phenomena,0.0
handbook,0.0
lapland,0.0
persist,0.0
deviat,0.0
occas,0.0
ne,0.0
girl,0.0
resembl,0.0
en,0.0
prolif,0.0
copi,0.0
pa,0.0
thirteen,0.0
stem,0.0
dog,0.0
remnant,0.0
england,0.0
iso,0.0
overlap,0.0
uniform,0.0
semant,0.0
categor,0.0
accur,0.0
younger,0.0
knowledg,0.0
uninflect,0.0
differenti,0.0
iranian,0.0
priest,0.0
likewis,0.0
coda,0.0
transcript,0.0
apostroph,0.0
strictli,0.0
simplif,0.0
machin,0.0
conveni,0.0
logic,0.0
bu,0.0
telephon,0.0
parallel,0.0
punctuat,0.0
thin,0.0
indefinit,0.0
hi,0.0
tap,0.0
let,0.0
cape,0.0
mirror,0.0
programm,0.0
irregular,0.0
interchang,0.0
teo,0.0
liabl,0.0
evenli,0.0
fusion,0.0
strive,0.0
ton,0.0
twelv,0.0
evolut,0.0
sit,0.0
hammer,0.0
harder,0.0
polish,0.0
exert,0.0
bean,0.0
nevertheless,0.0
interpret,0.0
inconsist,0.0
propon,0.0
vi,0.0
johan,0.0
cathol,0.0
welsh,0.0
eighteen,0.0
advic,0.0
ordin,0.0
eleven,0.0
compact,0.0
unpredict,0.0
advis,0.0
elderli,0.0
mind,0.0
shot,0.0
unknown,0.0
excess,0.0
canadian,0.0
watch,0.0
scarc,0.0
vanish,0.0
ala,0.0
medial,0.0
proxim,0.0
everyday,0.0
sake,0.0
treat,0.0
arisen,0.0
ta,0.0
ka,0.0
sana,0.0
fric,0.0
imper,0.0
participl,0.0
verbal,0.0
infinit,0.0
sh,0.0
solv,0.0
si,0.0
gothic,0.0
exposur,0.0
recogniz,0.0
awkward,0.0
turkic,0.0
subgroup,0.0
southwestern,0.0
assimil,0.0
bilingu,0.0
z,0.0
obliqu,0.0
indirect,0.0
redund,0.0
grace,0.0
morph,0.0
highland,0.0
folklor,0.0
os,0.0
offens,0.0
wait,0.0
conscious,0.0
potato,0.0
avid,0.0
anna,0.0
headshot,0.0
happi,0.0
suddenli,0.0
genuin,0.0
typolog,0.0
ja,0.0
absent,0.0
finno,0.0
disk,0.0
endeavor,0.0
crucial,0.0
labial,0.0
inevit,0.0
dialogu,0.0
occurr,0.0
auto,0.0
dental,0.0
unhappi,0.0
superl,0.0
evacu,0.0
thank,0.0
refuge,0.0
annex,0.0
estonian,0.0
headach,0.0
inscrib,0.0
gh,0.0
nice,0.0
eu,0.0
uo,0.0
voiceless,0.0
lenit,0.0
ke,0.0
uppercas,0.0
bye,0.0
hello,0.0
sorri,0.0
excus,0.0
compass,0.0
nonexist,0.0
th,0.0
suomen,0.0
finnish,0.0
estonia,0.0
helsinki,0.0
finn,0.0
duchi,0.0
ugric,0.0
sami,0.0
turku,0.0
mikael,0.0
agricola,0.0
kalevala,0.0
cede,0.0
karelia,0.0
suomi,0.0
finnmark,0.0
elk,0.0
hare,0.0
karelian,0.0
kainuu,0.0
finnic,0.0
ural,0.0
inari,0.0
skolt,0.0
nne,0.0
savonlinna,0.0
elia,0.0
nnrot,0.0
aleksi,0.0
kivi,0.0
linna,0.0
auli,0.0
workplac,0.0
kkinen,0.0
fledg,0.0
disc,0.0
intrus,0.0
haul,0.0
enrich,0.0
prescript,0.0
diminut,0.0
pluperfect,0.0
umlaut,0.0
ae,0.0
oe,0.0
rustic,0.0
tt,0.0
tz,0.0
ei,0.0
ron,0.0
journey,0.0
bride,0.0
inen,0.0
lag,0.0
forgiv,0.0
oust,0.0
hiss,0.0
luck,0.0
swamp,0.0
rmland,0.0
och,0.0
sverig,0.0
konvent,0.0
mellan,0.0
norg,0.0
nordiska,0.0
medborgar,0.0
att,0.0
nda,0.0
sitt,0.0
eget,0.0
annat,0.0
nordiskt,0.0
sk,0.0
ostrobothnia,0.0
uusimaa,0.0
andra,0.0
passport,0.0
kieli,0.0
tilastokesku,0.0
nkieli,0.0
kven,0.0
eponym,0.0
partit,0.0
monterey,0.0
statistikcentralen,0.0
befolkn,0.0
balto,0.0
chore,0.0
mynna,0.0
tachton,0.0
gernast,0.0
spuho,0.0
somen,0.0
gelen,0.0
emyna,0.0
dayda,0.0
tahdon,0.0
kernaasti,0.0
puhua,0.0
mutta,0.0
taida,0.0
willingli,0.0
edelfelt,0.0
handedli,0.0
armo,0.0
merci,0.0
vanhurska,0.0
righteou,0.0
dh,0.0
unvoic,0.0
techtin,0.0
tehtiin,0.0
ht,0.0
ssa,0.0
snellman,0.0
hegelian,0.0
preemin,0.0
rauma,0.0
exess,0.0
lounaismurteet,0.0
satakunta,0.0
tavastian,0.0
ismurteet,0.0
tavastia,0.0
miekka,0.0
miakka,0.0
kuolisi,0.0
kuali,0.0
ostrobothnian,0.0
pohjalaiset,0.0
murteet,0.0
keski,0.0
pohjoispohjalaiset,0.0
trom,0.0
savonian,0.0
savolaismurteet,0.0
savo,0.0
kaakkoismurteet,0.0
isthmu,0.0
ingria,0.0
resettl,0.0
ingrian,0.0
reacquir,0.0
vesj,0.0
vesi,0.0
pori,0.0
somero,0.0
hollola,0.0
porvoo,0.0
iitti,0.0
botnian,0.0
pohjola,0.0
tornio,0.0
kemi,0.0
rvi,0.0
llivaara,0.0
ruija,0.0
keuruu,0.0
lemi,0.0
sortavala,0.0
yleiski,0.0
puheki,0.0
newscast,0.0
kirjaki,0.0
nykysuomen,0.0
sanakirja,0.0
sivistyssanakirja,0.0
kielitoimiston,0.0
kielioppi,0.0
hakulinen,0.0
toimituksia,0.0
suomalaisen,0.0
kirjallisuuden,0.0
seura,0.0
sanojen,0.0
sikirja,0.0
kielikello,0.0
tule,0.0
tuu,0.0
illiteraci,0.0
puhuvat,0.0
pedant,0.0
discours,0.0
gradat,0.0
ts,0.0
yleiskielen,0.0
murrevastineet,0.0
sandhi,0.0
stadin,0.0
slangi,0.0
allophoni,0.0
noniniti,0.0
morphophonolog,0.0
chronem,0.0
uu,0.0
coron,0.0
parenthesi,0.0
wildli,0.0
olla,0.0
rs,0.0
karsta,0.0
strutsi,0.0
ostrich,0.0
uuri,0.0
juuri,0.0
tuot,0.0
tuotteeseensa,0.0
tarkka,0.0
tarka,0.0
tarkan,0.0
elis,0.0
vanha,0.0
vanhaa,0.0
overt,0.0
mene,0.0
morphosyntact,0.0
telic,0.0
ammuin,0.0
hirven,0.0
intransit,0.0
ratkaista,0.0
ratketa,0.0
momentan,0.0
imperson,0.0
luen,0.0
kirjan,0.0
kirjaa,0.0
aforement,0.0
suur,0.0
talo,0.0
lugun,0.0
coetu,0.0
jusleniu,0.0
kirja,0.0
kirjain,0.0
kirj,0.0
kirjasto,0.0
kirjailija,0.0
kirjallisuu,0.0
kirjoittaa,0.0
kirjoittaja,0.0
kirjuri,0.0
scribe,0.0
kirjallinen,0.0
kirjata,0.0
kirjasin,0.0
lukea,0.0
lukija,0.0
lainen,0.0
englanti,0.0
englantilainen,0.0
sto,0.0
laiva,0.0
laivasto,0.0
vatkata,0.0
whisk,0.0
vatkain,0.0
mixer,0.0
uri,0.0
yri,0.0
kaivaa,0.0
kaivuri,0.0
laivuri,0.0
shipper,0.0
shipmast,0.0
tulla,0.0
tulo,0.0
outcom,0.0
onni,0.0
onneton,0.0
koti,0.0
koditon,0.0
homeless,0.0
llinen,0.0
lapsi,0.0
lapsellinen,0.0
childish,0.0
kauppa,0.0
kaupallinen,0.0
its,0.0
selfish,0.0
neuvo,0.0
neuvoka,0.0
taitaa,0.0
taitava,0.0
johtaa,0.0
johtava,0.0
kanala,0.0
henhous,0.0
pappi,0.0
pappila,0.0
parsonag,0.0
volit,0.0
anticaus,0.0
wantonli,0.0
istahtaisinkohan,0.0
istua,0.0
istun,0.0
istahtaa,0.0
istahdan,0.0
istahtaisin,0.0
istahtaisinko,0.0
slavic,0.0
fennoscandia,0.0
musta,0.0
saari,0.0
suo,0.0
niemi,0.0
imatra,0.0
kaisa,0.0
suomalaisten,0.0
esihistoria,0.0
kielitieteen,0.0
valossa,0.0
kuninga,0.0
ruhtina,0.0
nobleman,0.0
kuningaz,0.0
druhtinaz,0.0
iti,0.0
kinship,0.0
emo,0.0
morsian,0.0
arma,0.0
dear,0.0
vasara,0.0
avestan,0.0
vajra,0.0
orja,0.0
arya,0.0
airya,0.0
slav,0.0
proxi,0.0
laki,0.0
bisp,0.0
piispa,0.0
peruna,0.0
likka,0.0
flicka,0.0
papu,0.0
sini,0.0
raamattu,0.0
novgorod,0.0
subtitl,0.0
treffailla,0.0
ffa,0.0
deittailla,0.0
kovalevi,0.0
passiivi,0.0
voi,0.0
pleikkari,0.0
playstat,0.0
hodari,0.0
hedari,0.0
headbutt,0.0
jargon,0.0
sooner,0.0
synthesis,0.0
puhelin,0.0
chatter,0.0
tietokon,0.0
levyk,0.0
diskett,0.0
levi,0.0
posti,0.0
mail,0.0
linja,0.0
telefooni,0.0
kompuutteri,0.0
abckiria,0.0
ij,0.0
meaning,0.0
immut,0.0
tulen,0.0
rajaan,0.0
raijaan,0.0
raijjaan,0.0
labiodent,0.0
nk,0.0
singalong,0.0
clitic,0.0
parempi,0.0
onpa,0.0
urheilija,0.0
aion,0.0
iset,0.0
ajoittaa,0.0
ehdottaa,0.0
sanoittaa,0.0
stylish,0.0
innoittaa,0.0
erottaa,0.0
hajottaa,0.0
workaday,0.0
rehottaa,0.0
zh,0.0
exactitud,0.0
hovanshtshina,0.0
sibil,0.0
benevol,0.0
jolli,0.0
huomenta,0.0
iltaa,0.0
terv,0.0
moro,0.0
hei,0.0
moi,0.0
heippa,0.0
moikka,0.0
sti,0.0
goodby,0.0
hauska,0.0
tutustua,0.0
kiito,0.0
samoin,0.0
kuuluu,0.0
tervetuloa,0.0
tietosanakirja,0.0
joo,0.0
olen,0.0
olet,0.0
ole,0.0
yksi,0.0
kaksi,0.0
kolm,0.0
viisi,0.0
kuusi,0.0
kahdeksan,0.0
kymmenen,0.0
yksitoista,0.0
kaksitoista,0.0
kolmetoista,0.0
sata,0.0
tuhat,0.0
miljoona,0.0
rakastan,0.0
sinua,0.0
anteeksi,0.0
voitko,0.0
auttaa,0.0
apua,0.0
voisit,0.0
ko,0.0
pahoillani,0.0
otan,0.0
osaa,0.0
condol,0.0
onnea,0.0
totta,0.0
kai,0.0
tietysti,0.0
toki,0.0
pieni,0.0
hetki,0.0
pikku,0.0
hetkinen,0.0
odota,0.0
suomalainen,0.0
suomea,0.0
englantia,0.0
amerikkalainen,0.0
kanadalainen,0.0
australialainen,0.0
uusiseelantilainen,0.0
irlantilainen,0.0
skotlantilainen,0.0
walesilainen,0.0
ranskalainen,0.0
saksalainen,0.0
kiinalainen,0.0
japanilainen,0.0
asut,0.0
asutt,0.0
teititt,0.0
strife,0.0
sampa,0.0
