,Topic,Queries,Answers,Retrieved file,Gold file,Retreival accuracy
11,John_Adams,Is Adams' birthplace part of a national park?,"Yes, Adams' birthplace is now part of the Adams National Historical Park, which was established in 1876. The park is located in Quincy, Massachusetts, and covers over 1,700 acres. It features a variety of historical sites, including the birthplace of John Adams, as well as other important figures and events in American history. The park is a popular tourist attraction and is a popular location for visitors to the Boston area.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
12,John_Adams,When did John Adams serve as Vice President?,"John Adams served as Vice President from 1789 to 1797, when he was defeated for re-election in the ""Revolution of 1800"" by Thomas Jefferson.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
13,John_Adams,With what party did Adams run for presidency?,"John Adams ran for president as a candidate of the Federalist Party, which was led by Alexander Hamilton. Hamilton and his supporters thought that Adams lacked the seriousness and popularity that had caused Washington to be successful, and they were opposed to him as a candidate. Adams' opponents were former Secretary of State Thomas Jefferson of Virginia and Senator Aaron Burr of New York, who were joined by Senator Aaron Burr of New York on the Democratic-Republican ticket.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
14,John_Adams,Where is Adams buried?,"John Adams is buried in United First Parish Church in Quincy, Massachusetts.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
15,John_Adams,Who were the midnight judges?,"The midnight judges in the story are the members of the French Royal Mint who gathered evidence during The Great Recoinage, including those who were accused of counterfeiting. It is not explicitly stated who these members were, but it is known that they were members of the French Royal Mint, and not members of the French Royal Court.","{'S10_set4_a1.txt.cl', 'S10_set6_a5.txt.cl'}",S08_set3_a1,0
16,John_Adams,In what ways was Adams opposed by Anderw Hamilton?,"Adam's opposition to Hamilton was primarily due to their differing political beliefs and personalities. Hamilton was a Federalist, while Adams was a Democratic-Republican. Hamilton was more outspoken and opinionated, while Adams was more reserved and considered. Their political differences were rooted in their differing views on the nature of government and the role of the presidency. Hamilton advocated for a strong central government with strong executive powers, while Adams supported a more decentralized system with a strong executive and judiciary branch. Hamilton's advocacy for a strong central government, which he believed was necessary for the protection of individual rights and the preservation of the nation's unity, was a major source of friction between Adams and Hamilton. They often clashed over issues such as the national debt, tariffs, and the Federalist Party's platform, which emphasized the importance of a strong national government. In addition, Hamilton's views on the role of the presidency were controversial, and some Federalists believed that he was too authoritarian and too willing to ignore the will of the people. This led to tensions between Adams and Hamilton, which often led to disagreements and conflicts within the Federalist",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
17,John_Adams,What information did he record in his diary?,"Leonardo da Vinci's diary is filled with detailed entries that provide insight into his personal life, daily activities, and scientific and artistic pursuits. Some of the information recorded in his diary includes:

1. Personal details: Leonardo kept detailed records of his personal life, including his name, age, birthplace, occupation, family background, and interests.

2. Daily activities: He recorded his daily routines, including waking up, eating breakfast, taking a walk, studying, and sleeping.

3. Scientific and artistic pursuits: He kept detailed notes on his inventions, including sketches, drawings, and notes on his experiments.

4. Travels and observations: He recorded his travels, observations of nature, and observations of the world around him.

5. Personal reflections: He wrote about his thoughts and feelings, including his love for his family and friends and his desire for love and happiness.

6. Religious beliefs: He maintained a strong religious belief and wrote about his faith in his diary.

Overall, Leonardo da Vinci's diary provides a rich and detailed account of his life, interests","{'S10_set6_a3.txt.cl', 'S10_set4_a3.txt.cl'}",S08_set3_a1,0
18,John_Adams,Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,"The defeated for re-election in the ""Revolution of 1800"" by Thomas Jefferson was John Adams.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
19,John_Adams,Who represented the Continental Congress in Europe?,"The Continental Congress did not represent the Continental Congress in Europe, but rather the United States of America as a whole. The Congress was made up of delegates from the 13 colonies, which included Massachusetts, Pennsylvania, New York, New Jersey, Maryland, Virginia, and North Carolina. However, the delegates were not a united body or a single government; they were rather a collection of individuals representing their respective states and territories.","{'S08_set3_a8.txt.cl', 'S08_set3_a1.txt.cl'}",S08_set3_a1,1
20,John_Adams,What is now part of Adams National Historical Park?,"Adams National Historical Park is a national park located in Adams, Massachusetts, United States. It was established in 1916 and was named after John Quincy Adams, the 14th President of the United States. The park covers 3,135 acres (12.9 km²) of forest and wetlands and is home to several historic sites, including the first United States Congress chamber and the home of John Adams. The park is also known for its interpretive programs, which provide visitors with insights into the park's history, natural beauty, and cultural significance.",{'S08_set3_a7.txt.cl'},S08_set3_a1,0
21,John_Adams,Is it true that adams had spent some time as the ambassador?,"Yes, it is true that Adams spent some time as the ambassador to France during the Quasi-War. It is unclear how long he was there, but his official duties included negotiating treaties and negotiating the terms of an amicable settlement with France. He also served as the US ambassador to France during the 1799-1801 war with France, and then as the US ambassador to Spain during the 1802-1803 war. While his official duties did not last long, his experiences as an ambassador were significant, as they helped to shape his understanding of foreign policy and the diplomatic process.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
22,John_Adams,Is it true that massachuS08_setts sent him in 1774?,"Yes, it is true that massachuS08_setts sent him in 1774, but the specific date is not given. The passage doesn't specify the exact year or location where the letter was written.","{'S10_set4_a1.txt.cl', 'S08_set3_a1.txt.cl'}",S08_set3_a1,1
23,John_Adams,Who did MassachuS08_setts send in 1774?,"MassachuS08_setts sent Adams, George Washington, and George Ross in 1774 to the first and second Continental Congresses to advise and assist the colonists in negotiations with Britain.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
24,John_Adams,"Are his last words often quoted as "" Thomas Jefferson survives "" . ?","I do not have access to current news, so I can not confirm or deny the accuracy of that statement. However, the passage you provided states that only the words ""Thomas Jefferson"" were clearly intelligible among the final words of John Adams, which is consistent with the statement in the passage.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
25,John_Adams,"The John Adams Library , housed at the Boston Public Library , contains what?","The John Adams Library, housed at the Boston Public Library, contains an electronic archive captured on December 16, 2004, containing Adams's personal collection of more than 3,500 volumes in eight languages, many of which are extensively annotated by Adams.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
26,John_Adams,Adams ' opponents were what?,"During the presidential campaign of 1796, Adams' opponents were the Federalists who opposed the presidential candidate of the Federalist Party, Thomas Jefferson, and Thomas Pinckney, the Governor of South Carolina, his running mate. The Federalists were a faction of the Federalist Party, which was founded by Alexander Hamilton in 1787 to challenge the British Empire and establish the United States as a new nation. The Federalists were divided between those who wanted to maintain the existing governmental structure and those who wanted to reform it, with Hamilton as their leader.",{'S08_set3_a1.txt.cl'},S08_set3_a1,1
27,John_Adams,"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?","The election of 1800 was not a bitter and volatile battle between the Federalists and the Republicans, as each side expressed extraordinary fear of the other party and its policies. Both sides had good political careers leading up to the election. However, the election was characterized by a sense of nationalism and a desire for a stronger central government that would protect the country from foreign threats, promote commerce, and regulate the economy.

The election was dominated by the Federalist Party, which was supported by many of the prominent figures in American politics, including Alexander Hamilton, Charles Cotesworth Pinckney, and John Marshall. However, there were also several independent candidates who were supported by the Democratic-Republican Party, including William Henry Harrison and John Quincy Adams.

The election was also marked by a strong sense of nationalism, as both parties were tied to the ideals of the Revolutionary War and the French Revolution. The Federalists, led by Hamilton, argued that a strong central government was necessary to protect the country from foreign threats and protect the rights and liberties of the people. The Democratic-Republicans, led by Adams, argued that the nation needed a strong and unified government","{'S08_set3_a2.txt.cl', 'S08_set3_a1.txt.cl'}",S08_set3_a1,1
28,John_Adams,What happened in 1764?,"In 1764, John Adams married Abigail Smith, the daughter of a Congregational minister, at Weymouth, Massachusetts. Abigail was born in 1744 and died in 1818. The marriage was unsuccessful due to his inborn contentiousness and lack of support from the people. In 1774, when the American Revolutionary War broke out, he became one of the first few delegates to recognize that a compromise with the British was pointless. In 1776, he worked hard to break away from Britain by using a formal declaration of independence. The following year, Congress voted for the resolution, ""these colonies are and of right ought to be free and independent states."" Two days later, they passed the Declaration of Independence. In 1776, the city of London was the setting for a relatively new annual event, the New Year's Day Parade. The beginning of the year is celebrated with the relatively new New Year's Day Parade, while traditional parades include November's Lord Mayor's Show, a centuries-old event celebrating the annual appointment of a new Lord Mayor of the City of","{'S09_set3_a1.txt.cl', 'S08_set3_a1.txt.cl'}",S08_set3_a1,1
29,kangaroo,Is a kangaroo a reptile?,"No, a kangaroo is not a reptile. Kangaroos are marsupials, which are a type of mammal that have a pouch on their backs for storing the joeys they have during pregnancy and lactation. However, like all other marsupials, they have hopping as a means of locomotion. Additionally, the term ""kangaroo"" is a common misconception as it is often used in place of the correct term, ""kangaroo.""",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
30,kangaroo,Is a kangaroo on the Australian coat of arms?,"Yes, a kangaroo is featured on the Australian coat of arms. The kangaroo is shown on the Australian currency, the Australian dollar, and the Kangaroo symbol URL is accessed January 6, 2007.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
31,kangaroo,"Was James Cook the first to record the name ""Kangooroo?""","Yes, James Cook was the first to record the name ""Kangooroo"" in the context of Australian native names. The name was first recorded by Captain James Cook and naturalist Sir Joseph Banks in their book ""A Voyage to the South Pole"" in 1770. Cook was fascinated by the unique features of the kangaroo, and he chose to name it after the Aboriginal word for ""I don't understand you"" due to its similarity with the English word ""kangaroo"". The kangaroo became one of the most popular and well-known animals in English culture, and its name has since become an integral part of Australian language and culture.","{'S08_set1_a1.txt.cl', 'S08_set2_a10.txt.cl'}",S08_set1_a1,0
32,kangaroo,What is a collective noun for kangaroos?,"A collective noun for kangaroos is a mob, troop, or court. The term kangaroo is a collective noun for the group of kangaroos, which includes the Red Kangaroo, Eastern Grey Kangaroo, Antilopine Kangaroo, and the Western Grey Kangaroo.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
33,kangaroo,Where do joeys complete postnatal development?,"Joeys complete postnatal development in various ways, depending on the species and the environment in which they are raised. In some species, such as the kangaroo and wallaby, joeys leave the pouch and start to feed on their mother's milk within a few weeks of birth. In other species, such as the koala and wombat, joeys may stay in the pouch for several months or even years. In still other species, such as the kangaroo and wallaby, joeys may leave the pouch and begin to explore their environment around the age of 6 months. It is common for joeys to remain with their mothers for several months or even years before being weaned.","{'S08_set1_a1.txt.cl', 'S10_set1_a3.txt.cl'}",S08_set1_a1,0
34,kangaroo,"What do kangaroos use for ""crawl-walking?""","Kangaroos use ""crawl-walking"" to move at slow speeds in search of food and water, rather than the more efficient ""hopping"" method. During this slow movement, they use their tail to form a tripod with their two forelimbs. They then raise their hind feet forward, in a form of locomotion called ""crawl-walking."" The tail is used to form a ""hopper"" shape, allowing the kangaroo to move forward while keeping its weight distributed evenly across its hind feet.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
35,kangaroo,Why do kangaroos have a wide bite?,"Kangaroos have a wide bite because their incisors are capable of cutting through the tough grasses and vegetation that they consume, providing a more effective way for them to grind down their food. This is an adaptation that has evolved over millions of years to enable them to hunt large prey and extract the maximum amount of nutrients from their food. The fact that kangaroos are herbivorous and have a diet that includes grasses and other vegetation helps to ensure that their bite is effective in extracting these nutrients.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
36,kangaroo,What is responsible for converting the hydrogen byproduct of fermentation into acetate?,"Responsible for converting the hydrogen byproduct of fermentation into acetate is the bacterium Eubacterium rectale, which is the primary producer of acetate in the gut of certain animals, such as cows and sheep. The bacterium utilizes a process called fermentation, in which it breaks down organic matter like carbohydrates, fats, and proteins into acetate. The acetate produced by bacteria can then be used as a food source for other animals or used as a source of energy for other animals or humans. However, the conversion of hydrogen byproduct into acetate is not a one-way process, and the bacteria also release acetate as waste products.",{'S10_set1_a1.txt.cl'},S08_set1_a1,0
37,kangaroo,Are wild kangaroos shot for meat?,"Yes, wild kangaroos are shot for meat in Australia, but the Australian government has banned the trade of kangaroo meat since 1992, which has had a significant impact on the kangaroo population. In 2019, the Australian government announced plans to increase the number of kangaroo quotas to support the industry and reduce the number of animals killed for meat. However, the controversy over the hunting of kangaroos has not disappeared entirely, with some observers arguing that the industry remains unsustainable and should be reformed.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
38,kangaroo,Have kangaroos fared well since European S08_settlement?,"Yes, kangaroos have fared well since European settlement. Kangaroos have adapted well to their new environment, and their populations have increased significantly in recent centuries. In fact, the kangaroo population in Australia has increased by over 90% since European settlement, making it one of the most abundant carnivores in the country. The large kangaroo population has helped to stabilize Australia's ecosystem, and has provided a significant source of food for animals and humans. Despite the impact of human settlement, kangaroos continue to thrive in Australia and are a valuable part of the country's natural heritage.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
39,kangaroo,Do kangaroos have many natural predators?,"Yes, kangaroos have many natural predators, including dingoes, kangaroos, wallabies, snakes, and predators such as the wedge-tailed eagle and hawks. However, with the arrival of humans in Australia at least 50,000 years ago and the introduction of the dingo about 5,000 years ago, kangaroos have had to adapt to coexist with more aggressive predators such as foxes and feral cats.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
40,kangaroo,What is the average life expectancy of a kangaroo?,The average life expectancy of a kangaroo is about 4-6 years.,{'S08_set1_a1.txt.cl'},S08_set1_a1,1
41,kangaroo,When did the first official report of kangaroo blindness take place?,"The first official report of kangaroo blindness in Australia took place in 1994, when reports of blind kangaroos appeared in Victoria and South Australia. The first case was a 24-month-old kangaroo found dead in a car park in Gippsland in Victoria. The cause of the death was later determined to be kangaroo blindness.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
42,kangaroo,What are vehicles that frequent isolated roads often fitted with?,"Vehicles that frequent isolated roads often have features that make them more fuel-efficient and eco-friendly. These vehicles are often fitted with low-emission engines, hybrid engines, or electric motors, which help to reduce fuel consumption and emissions. They are often designed to be low-maintenance, long-lasting, and easy to maintain, making them ideal for areas with limited or no road infrastructure. They may also have other features, such as low-friction surfaces, high-speed gearing, or low-polluting fuels, which help to reduce emissions and improve fuel efficiency. Overall, these vehicles are designed to promote sustainability and promote a more environmentally friendly approach to road transportation in isolated areas.","{'S09_set3_a7.txt.cl', 'S09_set3_a3.txt.cl'}",S08_set1_a1,0
43,kangaroo,Do kangaroos eat plants?,"Yes, kangaroos eat a variety of plants, including grasses, shrubs, and ferns. The diet of kangaroos varies depending on the species and the season, but the majority of the plant matter they eat is grasses. Kangaroos are herbivores and their diet primarily consists of grasses, which they consume by chewing the stems and leaves. This is also true of other herbivorous animals such as sheep and goats, which also consume grasses. Some kangaroos, like red kangaroos and swamp wallabies, also include significant amounts of shrubs in their diet, although they are not as prevalent in the diet of other kangaroos.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
44,kangaroo,What are some extinct predators of the kangaroo?,"Several extinct predators of kangaroos include the Thylacine, considered by palaeontologists to have once been a major natural predator of the kangaroo, and the Marsupial Lion, Megalania, and the Wonambi. However, with the arrival of humans in Australia at least 50,000 years ago and the introduction of the dingo about 5,000 years ago, kangaroos have had to adapt. The mere barking of a dog can set a full-grown male boomer into a wild frenzy. Wedge-tailed Eagles and other raptors usually eat kangaroo carrion. Goannas and other carnivorous reptiles also pose a danger to smaller kangaroo species when other food sources are lacking.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
45,kangaroo,Is a Kangaroo a Marsupial?,"Yes, a Kangaroo is a marsupial (a member of the family of mammals that includes kangaroos, wallabies, and kangaroos) that is closely related to the kangaroo in the family Macropodidae. While the exact classification of marsupials may vary based on the specific study, a kangaroo's distinctive physical features, such as its hopping speed and ability to use hopping as a means of locomotion, suggest that it belongs to the family of mammals that includes marsupials.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
46,kangaroo,Is the kangaroo an herbivour?,"Yes, kangaroos are primarily herbivorous animals. They feed on a wide variety of plants, including grasses, leaves, ferns, and other vegetation. However, kangaroos are also able to consume a wide variety of animal tissues, including bones, muscles, and even teeth. This versatility allows them to be adapted to a variety of habitats and environments, including tundra, savannas, and rainforests. Kangaroos are also able to survive in extreme weather conditions, such as freezing temperatures and extreme heat, and have adapted to living in arid environments. Overall, kangaroos are able to survive and thrive in a wide variety of habitats and environments, making them one of the most adaptable and diverse mammals in the world.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
47,kangaroo,Are Kangaroos Shy?,"Yes, Kangaroos are generally shy animals and are considered to be social creatures. They have a complex social structure, with males and females having separate territories and social hierarchies, and males and females often live in separate groups. 

In Australia, kangaroos are generally found in large groups called mobs or herds, which can number in the thousands. Males in these groups compete with each other for dominance, and the females usually choose their mates based on physical features such as size, shape, and color.

Kangaroos are also known to have a complex communication system, with vocalizations, body language, and facial expressions used to signal aggression, alarm, and distress. They are also known for their unique ability to communicate across vast distances, using a technique called ""broadcasting.""

Overall, Kangaroos are generally considered to be peaceful and wary creatures, with a preference for stealth and avoidance of conflict.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
48,kangaroo,What method of locomotion do Kangaroos Use?,"Kangaroos use a variety of locomotion methods, including hopping, crawling, and running. Hopping is the fastest and most efficient method for Kangaroos, with a maximum speed of about 20 km/h (13 mph) for females and about 13 km/h (8 mph) for males. Kangaroos also use crawling as a means of locomotion for short distances, and running for long distances, such as for foraging or escaping predators. Their locomotor mechanisms allow them to maintain their speed and momentum in the air, and to adapt to the terrain they navigate through.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
49,kangaroo,What is a collective noun for a kangaroo?,A collective noun for a kangaroo is a mob or troop.,{'S08_set1_a1.txt.cl'},S08_set1_a1,1
50,kangaroo,What is a roo?,"A roo (pronounced ""roo-oo"") is a type of guitar pick used for strumming, plucking, or picking. It is made of a thin metal rod with a small, elongated head that fits easily into a guitar's bridge. The roo is typically used to add a bit of sustain and harmonic depth to the sound of a guitar, particularly in acoustic music styles like folk, blues, and rock. Roo picks are typically used with a lightweight pickguard to prevent them from falling off the guitar.","{'S10_set2_a7.txt.cl', 'S09_set2_a7.txt.cl'}",S08_set1_a1,0
51,kangaroo,What is used to protect a vehicale from a Kangaroo?,"A ""roo bar"" is used to protect a vehicle from kangaroos. Kangaroos are known to dazzle or startle when a vehicle is in the vicinity, leading to a collision with the vehicle. To minimize damage caused by collision, vehicles are fitted with ""roo bars"" that emit ultrasound and other methods to scare wildlife off the road. These devices can also be used in cases where a vehicle is in the path of a kangaroo, causing it to dive back into the road.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
52,kangaroo,What method is used by Kangaroos to travel?,"The method used by kangaroos to travel is called hopping. Kangaroos use hopping to cover long distances and avoid predators while searching for food and water. They use their powerful hind legs, large feet, and long muscular tails for balance and leaping, and their long tail as a rudder for steering. They can travel at speeds of up to 70 km/h (44 mph) for  nearly two kilometres, making them one of the most efficient modes of locomotion in the animal kingdom. The ability of kangaroos to travel long distances and avoid predators is crucial to their survival, as they are at an ideal degree of evolutionary divergence from humans.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
53,kangaroo,Who asked a nearby local what the creatures were called?,The local nearby local who was asked the question was not specified in the given material.,"{'S09_set1_a2.txt.cl', 'S08_set1_a10.txt.cl'}",S08_set1_a1,0
54,kangaroo,What are four species that are commonly referred to as kangaroos?,"A Tasmanian Forester (Eastern Grey) Kangaroo, the Eastern Grey Kangaroo (Macropus giganteus), the Antilopine Kangaroo (Macropus antilopinus), and the Western Grey Kangaroo (Macropus fuliginosus) are commonly referred to as kangaroos.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
55,kangaroo,Are kangaroos and wallabies adept swimmers?,"Yes, kangaroos and wallabies are adept swimmers. They have the ability to swim underwater and are known to use their forepaws to hold on to their prey and drown them. These animals are also skilled swimmers, able to dive deeply into water to catch prey. Their ability to swim underwater and hold onto prey gives them a significant advantage in the fight for survival in the water.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
56,kangaroo,Are kangaroos farmed to any extent?,"Yes, kangaroos are farmed to some extent in Australia and New Guinea. Kangaroos are often raised for their meat, which is often eaten by humans. Some of these kangaroos are also used as pets. However, many kangaroos are also bred for their meat and are not raised for human consumption. Kangaroos can also be bred for their fur, which is sold as fur products in Australia and New Guinea. Kangaroos are not farmed to the same extent as other animals like cows, pigs, or poultry. However, some farmers raise kangaroos for their meat or fur, and they are often sold in pet stores or online.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
57,kangaroo,Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,"Yes, in 1996, the discovery was made that less than three percent of kangaroos exposed to the virus developed blindness. The disease was first reported in 1994 in central New South Wales, and the following year, the first official report of kangaroo blindness occurred in Victoria and South Australia. The disease was caused by the Wallal virus, which was first detected in 1994 in two species of midge, believed to have been the carriers of the virus.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
58,kangaroo,Different species of kangaroos eat what?,"Different species of kangaroos eat a variety of things, including:

1. Grasses: Kangaroos eat a wide variety of grasses, including tussocks, sedges, and bromeliads.

2. Fruits: Kangaroos feed on fruits like eucalyptus, acacia, and burrs, as well as seeds and nuts.

3. Termites: Some kangaroos feed on termites and other insects.

4. Insects: Kangaroos also eat insects such as beetles, flies, and lice.

5. Leaves: Kangaroos eat leaves, including the red gum and the sugar cane.

6. Fungi: Some species of kangaroos consume fungi like mushrooms and truffles.

7. Freshwater: Kangaroos also feed on freshwater crocodiles, fish, and other small aquatic creatures.

8. Carrion: Kangaroos are often preyed upon by dingoes and other canids, which can eat carrion.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
59,kangaroo,Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,"No, kangaroos have not been known to jump in front of cars in the past. However, kangaroos can dazzle by the headlights or startle by the engine noise. These are both potential causes of a collision with a vehicle. 

A collision with a vehicle is capable of killing a kangaroo, as discussed in the text.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
60,kangaroo,Is a collision with a vehicle capable of killing a kangaroo ?,"Yes, a collision with a vehicle is capable of killing a kangaroo. Kangaroos are known to dazzle by headlights or startled by engine noise, and can be easily knocked over by a collision. Collisions with vehicles can result in severe injuries to both animals and their occupants.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
61,kangaroo,Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,"I don't have access to the information you have provided about the game of Marn grook being played using a ball made from kangaroo by the kurnai people. However, according to the given text, the game of Marn grook was played using a ball made from kangaroo in australia, which means it may have been played using a ball made from the animal, or the game was played using a ball made from a kangaroo-like animal.","{'S08_set1_a1.txt.cl', 'S10_set3_a2.txt.cl'}",S08_set1_a1,0
62,kangaroo,"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?","Yes, kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. These features have evolved over millions of years to enable them to perform the necessary locomotion to survive in their natural habitats.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
63,kangaroo,"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?","Yes, a kangaroo is a marsupial from the family Macropodidae, also known as macropods, meaning ""large foot"". The family includes many species of marsupials, including the Red Kangaroo, Antilopine Kangaroo, Eastern and Western Grey Kangaroo, and the Quokka. While kangaroos are not farmed to any extent, they are not considered endangered and are often hunted for meat, over which there is controversy. Steve Dow: ""An industry that's under the gun"". Sydney Morning Herald online, September 26, 2007.",{'S08_set1_a1.txt.cl'},S08_set1_a1,1
